	 Lmin 		 M 	  MAX_CYCLE 	 X 	 temps

repetition 1
	 34957.000000;	 26;	 10;		 2;	 6.174000; 
	 33744.000000;	 26;	 10;		 3;	 6.182000; 
	 36424.000000;	 26;	 10;		 4;	 6.179000; 
	 37148.000000;	 26;	 10;		 5;	 6.272000; 
	 38899.000000;	 26;	 10;		 6;	 6.183000; 
	 39737.000000;	 26;	 10;		 7;	 6.247000; 
	 38735.000000;	 26;	 10;		 8;	 6.273000; 
	 39251.000000;	 26;	 10;		 9;	 6.172000; 
	 34306.000000;	 26;	 10;		 10;	 6.233000; 
	 41729.000000;	 26;	 10;		 11;	 6.326000; 
	 41230.000000;	 26;	 10;		 12;	 6.113000; 
	 39423.000000;	 26;	 10;		 13;	 6.242000; 
	 37837.000000;	 26;	 10;		 14;	 6.279000; 
	 34360.000000;	 26;	 10;		 15;	 6.269000; 
	 44954.000000;	 26;	 10;		 16;	 6.178000; 
	 42952.000000;	 26;	 10;		 17;	 6.329000; 
	 40444.000000;	 26;	 10;		 18;	 6.271000; 
	 42983.000000;	 26;	 10;		 19;	 6.258000; 
	 38301.000000;	 26;	 10;		 20;	 6.267000; 
	 36567.000000;	 26;	 10;		 21;	 6.198000; 
	 41300.000000;	 26;	 10;		 22;	 6.124000; 
	 42499.000000;	 26;	 10;		 23;	 6.162000; 
	 43123.000000;	 26;	 10;		 24;	 6.252000; 
	 43383.000000;	 26;	 10;		 25;	 6.241000; 
	 42104.000000;	 26;	 10;		 26;	 6.152000; 
	 30105.000000;	 27;	 10;		 2;	 6.430000; 
	 32243.000000;	 27;	 10;		 3;	 6.416000; 
	 40086.000000;	 27;	 10;		 4;	 6.404000; 
	 36126.000000;	 27;	 10;		 5;	 6.397000; 
	 41958.000000;	 27;	 10;		 6;	 6.376000; 
	 40655.000000;	 27;	 10;		 7;	 6.235000; 
	 34200.000000;	 27;	 10;		 8;	 6.357000; 
	 38426.000000;	 27;	 10;		 9;	 6.427000; 
	 41882.000000;	 27;	 10;		 10;	 6.319000; 
	 42620.000000;	 27;	 10;		 11;	 6.026000; 
	 41920.000000;	 27;	 10;		 12;	 5.931000; 
	 43162.000000;	 27;	 10;		 13;	 5.983000; 
	 40293.000000;	 27;	 10;		 14;	 6.576000; 
	 36498.000000;	 27;	 10;		 15;	 6.206000; 
	 38448.000000;	 27;	 10;		 16;	 6.542000; 
	 42417.000000;	 27;	 10;		 17;	 6.451000; 
	 39491.000000;	 27;	 10;		 18;	 6.307000; 
	 41319.000000;	 27;	 10;		 19;	 6.478000; 
	 40574.000000;	 27;	 10;		 20;	 6.658000; 
	 38304.000000;	 27;	 10;		 21;	 6.562000; 
	 41963.000000;	 27;	 10;		 22;	 6.365000; 
	 41780.000000;	 27;	 10;		 23;	 6.475000; 
	 40666.000000;	 27;	 10;		 24;	 6.328000; 
	 43189.000000;	 27;	 10;		 25;	 6.429000; 
	 42366.000000;	 27;	 10;		 26;	 6.481000; 
	 40315.000000;	 27;	 10;		 27;	 6.481000; 
	 28479.000000;	 28;	 10;		 2;	 6.810000; 
	 38229.000000;	 28;	 10;		 3;	 6.754000; 
	 27645.000000;	 28;	 10;		 4;	 6.751000; 
	 35170.000000;	 28;	 10;		 5;	 6.839000; 
	 36500.000000;	 28;	 10;		 6;	 6.794000; 
	 40664.000000;	 28;	 10;		 7;	 6.770000; 
	 38787.000000;	 28;	 10;		 8;	 6.787000; 
	 40693.000000;	 28;	 10;		 9;	 6.761000; 
	 38003.000000;	 28;	 10;		 10;	 6.854000; 
	 42649.000000;	 28;	 10;		 11;	 6.763000; 
	 35489.000000;	 28;	 10;		 12;	 6.700000; 
	 41035.000000;	 28;	 10;		 13;	 6.695000; 
	 41143.000000;	 28;	 10;		 14;	 6.694000; 
	 36594.000000;	 28;	 10;		 15;	 6.758000; 
	 41254.000000;	 28;	 10;		 16;	 6.703000; 
	 42044.000000;	 28;	 10;		 17;	 6.603000; 
	 39400.000000;	 28;	 10;		 18;	 6.795000; 
	 39310.000000;	 28;	 10;		 19;	 6.471000; 
	 40064.000000;	 28;	 10;		 20;	 6.136000; 
	 41393.000000;	 28;	 10;		 21;	 6.210000; 
	 41923.000000;	 28;	 10;		 22;	 6.238000; 
	 40252.000000;	 28;	 10;		 23;	 6.411000; 
	 44640.000000;	 28;	 10;		 24;	 6.417000; 
	 42945.000000;	 28;	 10;		 25;	 6.593000; 
	 40444.000000;	 28;	 10;		 26;	 6.390000; 
	 42922.000000;	 28;	 10;		 27;	 6.380000; 
	 41933.000000;	 28;	 10;		 28;	 6.381000; 
	 34259.000000;	 29;	 10;		 2;	 6.582000; 
	 42024.000000;	 29;	 10;		 3;	 6.636000; 
	 40306.000000;	 29;	 10;		 4;	 6.616000; 
	 32942.000000;	 29;	 10;		 5;	 6.602000; 
	 42042.000000;	 29;	 10;		 6;	 6.628000; 
	 40252.000000;	 29;	 10;		 7;	 6.792000; 
	 37969.000000;	 29;	 10;		 8;	 6.428000; 
	 37153.000000;	 29;	 10;		 9;	 6.582000; 
	 41359.000000;	 29;	 10;		 10;	 6.800000; 
	 40767.000000;	 29;	 10;		 11;	 6.620000; 
	 40497.000000;	 29;	 10;		 12;	 6.597000; 
